,X,Y,Z,Nphi
353,335361.78630145144,4263043.859237519,233.3954855003002,8.102602815351794
354,335361.95315433317,4263043.849060587,235.63731381531522,7.9974117957924165
355,335359.03301462944,4263043.839881002,237.87914213033025,4.804812541221372
356,335362.24006857205,4263043.824,240.12097044534528,7.740470844800668
357,335362.3310267241,4263043.805,242.3627987603603,7.559900208163571
358,335360.8622103601,4263043.786,244.60462707537533,5.819842788418249
359,335359.2283288107,4263043.767,246.84645539039036,3.914410737628031
360,335362.3136838657,4263043.748,249.0882837054054,6.72824780820528
361,335361.5460403307,4263043.728999999,251.33011202042042,5.688972917985702
362,335362.7024518458,4263043.71,253.57194033543533,6.573987062614793
363,335362.37269783753,4263043.691000001,255.81376865045036,5.972813444828797
364,335362.46362525196,4263043.672,258.0555969654654,5.792149097697793
365,335363.11218705727,4263043.653,260.2974252804804,6.169417535654475
366,335363.3797640663,4263043.633,262.53925359549544,6.155545452120954
367,335363.6760624223,4263043.613,264.78108191051047,6.168186194343631
368,335368.0373998276,4263043.593490833,267.0229102255255,10.245617744842821
369,335367.72470382287,4263043.573282144,269.2647385405405,9.649381332245609
370,335367.00026626803,4263043.553074257,271.50656685555555,8.641341516495554
371,335365.772695635,4263043.533866043,273.74839517057046,7.130251708376811
372,335368.6631814219,4263043.5139999995,275.9902234855855,9.737211470842439
373,335365.6219424463,4263043.494,278.2320518006005,6.412345845646746
374,335365.7624365265,4263043.485752984,280.47388011561554,6.270817431595231
375,335365.6630210348,4263043.516949836,282.71570843063057,5.894717001376669
376,335367.5642098032,4263043.5481455,284.9575367456456,7.518878605589475
377,335370.33212889393,4263043.5793070095,287.1993650606606,10.00951753730413
378,335368.27542809315,4263043.610548484,289.44119337567565,7.675992040830253
379,335369.43182495236,4263043.6659574285,291.6830216906907,8.574590980171022
380,335368.1989588049,4263043.733691675,293.9248500057056,7.093375868479836
381,335372.44783198653,4263043.800969126,296.1666783207206,11.09390608584511
382,335370.5107449443,4263043.868298494,298.40850663573565,8.908428556767166
383,335381.20097005536,4263043.936272109,300.6503349507507,19.35026461628572
384,335375.8004502544,4263044.004111698,302.8921632657657,13.701459310467515
385,335369.85716346785,4263044.071558072,305.13399158078073,7.5099498772371485
386,335371.0606796497,4263044.138798084,307.37581989579576,8.464969034164197
387,335370.52575450944,4263044.206844367,309.6176482108108,7.681879361889889
388,335369.37627116713,4263044.273984485,311.8594765258258,6.2840394332431435
389,335373.10565863404,4263044.3422621945,314.1013048408407,9.765150709960524
390,335370.88157011825,4263044.40984382,316.34313315585575,7.292482477334672
391,335371.50878140813,4263044.4774139095,318.5849614708708,7.671587685684708
392,335371.35893036606,4263044.545115381,320.8267897858858,7.2734188373080215
393,335370.18336015707,4263044.612701217,323.06861810090084,5.849543709276991
394,335427.16231131967,4263044.68032542,325.31044641591586,62.57998589953021
395,335373.1558759638,4263044.747985817,327.5522747309309,8.325352550505768
396,335370.54083128076,4263044.815259103,329.7941030459459,5.462031703980673
397,335373.9419212183,4263044.883272804,332.03593136096094,8.614748073637207
398,335371.77378999756,4263044.951253827,334.27775967597586,6.198473159551181
399,335372.66025474155,4263045.018465477,336.5195879909909,6.836406642766669
400,335375.3592903756,4263045.085775112,338.7614163060059,9.287169839745737
401,335375.03306670976,4263045.153843274,341.00324462102094,8.71261302793508
402,335375.99906570587,4263045.221,343.24507293603597,9.430340072147828
403,335376.7984098691,4263045.289218556,345.486901251051,9.981266778610193
404,335374.8364449073,4263045.35654145,347.728729566066,7.77101006616015
405,335379.84406338586,4263045.424808673,349.97055788108105,12.530137367474731
406,335376.16233215557,4263045.492006167,352.2123861960961,8.600267046487907
407,335378.1856137094,4263045.55970086,354.454214511111,10.375229066729013
408,335383.1534609632,4263045.627682376,356.696042826126,15.09471854933846
409,335401.23741533695,4263045.69497501,358.93787114114104,32.93040030294881
410,335409.83248056995,4263045.763007263,361.1796994561561,41.27724498394701
411,335391.1864236551,4263045.830556758,363.4215277711711,22.382831761462302
412,335384.41928282334,4263045.897826895,365.6633560861861,15.367250205605629
413,335377.2807389449,4263045.965555606,367.90518440120115,7.980394232592388
414,335382.53464941116,4263046.033396449,370.1470127162162,12.985978998960537
415,335379.3783894038,4263046.101,372.3888410312312,9.58143558963681
416,335378.5571740339,4263046.162945361,374.6306693462461,8.531987126657354
417,335378.66574831115,4263046.213969923,376.87249766126115,8.44908065152404
418,335378.33750497614,4263046.264993627,379.1143259762762,7.929320272298181
419,335412.4178943226,4263046.316000001,381.3561542912912,41.8182008147506
420,335418.75956825964,4263046.367,383.59798260630623,47.968847547658825
421,335431.463959591,4263046.417150918,385.83981092132126,60.48172756957092
422,335441.2649166031,4263046.469102297,388.0816392363363,70.09116649408297
423,335419.47263018426,4263046.520156929,390.3234675513513,48.10738092942332
424,335414.8894197363,4263046.571,392.56529586636634,43.33293806682217
425,335411.9674089014,4263046.621376574,394.80712418138137,40.2194804393482
426,335429.26092722116,4263046.672611045,397.0489524963963,57.32157175907585
427,335423.02056653943,4263046.723232846,399.2907808114113,50.889642017790884
428,335417.65306440415,4263046.774179957,401.53260912642634,45.33106257240436
429,335422.7222860841,4263046.825345469,403.77443744144136,50.208738756300384
430,335419.8342204727,4263046.876397183,406.0162657564564,47.12927004968903
431,335387.55626256915,4263046.927338997,408.2580940714714,14.659770984130349
432,335394.03658033774,4263046.978366149,410.49992238648645,20.948752357836998
433,335386.89430194756,4263047.029226257,412.7417507015015,13.615049433995733
434,335388.837147699,4263047.080416718,414.9835790165165,15.366555813215241
435,335400.0076686874,4263047.131443786,417.2254073315314,26.345516026120418
436,335384.52982698736,4263047.182470532,419.46723564654644,10.676391913300632
437,335382.25268303737,4263047.23385001,421.70906396156147,8.207643014230568
438,335383.00452385197,4263047.284522253,423.9508922765765,8.768325939320293
439,335383.367527189,4263047.335549339,426.1927205915915,8.93981009982809
440,335393.1991199851,4263047.386426926,428.43454890660655,18.57996843923549
441,335407.6182168961,4263047.437260579,430.6763772216216,32.807621795142346
442,335429.2333767226,4263047.4886293,432.9182055366366,54.231607803537486
443,335426.9258618139,4263047.539656435,435.16003385165163,51.73257349887949
444,335439.716952466,4263047.59,437.40186216666655,64.33226089246438
445,335466.71197340183,4263047.64155639,439.6436904816816,91.13593806630105
446,335424.81408799754,4263047.692470774,441.8855187966966,49.04665229477502
447,335418.4495623537,4263047.743694482,444.12734711171163,42.490631665850174
448,335411.5042076427,4263047.793787594,446.36917542672666,35.35374222712559
449,335415.961883373,4263047.844761896,448.6110037417417,39.62027387490477
450,335413.7067545094,4263047.8958819825,450.8528320567567,37.17351478047683
451,335409.6132458177,4263047.947,453.09466037177174,32.88874793216789
452,335403.3781478921,4263047.997892675,455.33648868678677,26.46212011950379
453,335404.5570862518,4263048.048911083,457.5783170018017,27.449533028986757
454,335413.0664730696,4263048.1,459.8201453168167,35.76783521746797
455,335416.5059073152,4263048.150971697,462.06197363183173,39.01583185003625
456,335412.4982218373,4263048.201998762,464.30380194684676,34.816627285232485
457,335411.28169033205,4263048.253025835,466.5456302618618,33.40858699370001
458,335407.84152446355,4263048.304050579,468.7874585768768,29.77730191680365
459,335421.02490956313,4263048.353052396,471.02928689189184,42.81145716648586
460,335436.8477335261,4263048.398921187,473.27111520690687,58.54128327094362
461,335411.31692173047,4263048.445792413,475.5129435219219,32.91783311089113
462,335439.03387382836,4263048.491330434,477.7547718369369,60.54184339522821
