xloc,yloc,zloc,phase,date_clock,tsec,t0_loc,eigval_max,eigval_mid,eigval_min,eigvec_max_e,eigvec_max_n,eigvec_max_u,eigvec_mid_e,eigvec_mid_n,eigvec_mid_u,mom,fc_p,fc_s,rad,sd,mw,energy,src_nrcv,src_misfit,mom_sdev,fc_sdev,snr_loc,orthogonality,distance_rcv,noise_level_acc
335365.3,4263045.1,344.5,2,28:04:19:10:44:33,643473,0.2094,71.1,11.42,9.76,0.86082,-0.24082,-0.44833,0.20595,0.97044,-0.12584,3.10E+06,169.1,108.9,6.25,5559.057,-1.672,3.15E-01,11,0.2958,8.68E+05,30.1,3.3,0.689,1295.7,2.77E-06
335359.2,4263046.5,432.6,2,28:04:19:11:07:51,644871,0.7875,17.88,13.28,12.2,0.40639,-0.07162,0.91089,0.01096,0.99723,0.07352,7.05E+06,148.3,116.3,6.42,11629.949,-1.435,1.52E+00,11,0.3314,1.63E+06,16,7.1,0.827,1381.3,2.25E-06
335374.6,4263119.2,320.4,2,28:04:19:11:18:44,645524,0.1901,75.55,47.89,10.24,0.84104,-0.2551,-0.47704,0.27973,0.95987,-0.02011,3.03E+06,121.1,127.9,7.06,3766.18,-1.679,2.04E-01,11,0.2978,1.24E+06,3.4,3.2,0.722,1275.1,2.16E-06
335364.5,4263062.1,473.2,2,28:04:19:12:09:22,648562,0.169,20.88,18.5,14.58,0.1397,0.05759,0.98852,-0.69601,0.71579,0.05667,1.55E+08,206.2,128.5,5.17,493125.613,-0.539,1.41E+03,11,0.3706,4.70E+07,38.9,12.9,0.806,1419.1,6.56E-06
335296.1,4263016,310.1,2,28:04:19:12:32:13,649933,0.3895,67.62,32.55,9.51,0.87315,-0.03691,-0.48606,0.04428,0.99901,0.00369,1.42E+06,140.2,145.4,6.08,2754.035,-1.899,7.11E-02,9,0.2548,1.19E+06,2.6,2.3,0.701,1286.8,2.20E-06
335397.4,4263066.5,343.4,3,01:05:19:16:49:01,924541,0.208,61.49,27.07,20.76,0.61046,-0.68038,-0.40549,0.56984,0.73285,-0.37178,1.77E+06,307.3,281.2,2.93,31001.225,-1.834,1.00E+00,10,0.3578,3.76E+06,13.1,6,0.844,1285.8,2.81E-06
335469.5,4263058.6,273.9,3,01:05:19:16:55:32,924932,0.5006,76.7,23.18,10.68,0.87721,-0.26984,-0.39711,0.27174,0.96093,-0.05268,1.01E+06,235.8,139.1,4.69,4298.053,-1.996,7.95E-02,4,0.2715,7.03E+05,48.1,2,0.717,1198.5,3.49E-06
335444.5,4263030.2,296.9,3,01:05:19:17:51:36,928296,0.523,21.82,17.58,14.55,-0.00238,0.0462,0.99893,0.70873,-0.70465,0.03427,8.80E+06,247,144.5,4.5,42335.681,-1.37,6.80E+00,10,0.371,9.86E+06,51.2,7.1,0.851,1226.2,3.29E-06
335324.4,4263012.7,328.4,3,01:05:19:17:51:44,928304,0.7809,66.55,44.77,9.71,0.86659,-0.02895,-0.49818,0.03714,0.99929,0.00652,1.70E+06,178.6,196.4,4.71,7120.36,-1.846,2.17E-01,8,0.2636,6.01E+06,8.8,3.3,0.803,1293.5,2.38E-06
335408.6,4263037.1,267.3,3,01:05:19:17:52:05,928325,0.718,65.27,39.93,9.74,0.88024,-0.11962,-0.4592,0.12829,0.99166,-0.01242,3.61E+06,141.5,133.5,6.32,6259.247,-1.628,4.04E-01,8,0.3532,1.98E+07,4,3.3,0.618,1208.6,2.21E-06
335375.4,4263093.3,381.3,3,01:05:19:18:00:22,928822,0,194.21,133.96,29.66,-0.82795,-0.18573,0.52916,0.08064,-0.97319,-0.2154,1.16E+06,305.6,143.2,4.11,7283.397,-1.958,1.54E-01,5,0.2524,1.63E+06,77.8,2.2,0.683,1330.2,2.49E-06
