,X,Y,Z,Temperature
671,335487.3851810757,4263046.145950147,1114.434013301201,107.84028107571133
672,335487.18611462566,4263046.089,1116.675841616216,107.64511462564505
673,335486.92289668706,4263046.031786799,1118.917669931231,107.38629668708009
674,335486.59568789357,4263045.9759037895,1121.1594982462461,107.06348789356927
675,335486.2949620602,4263045.919106781,1123.4013265612612,106.76710866995029
676,335485.9846025012,4263045.862,1125.6431548762762,106.46070250121386
677,335485.745577898,4263045.805497404,1127.8849831912912,106.22607789798133
678,335485.51964054024,4263045.749,1130.1268115063062,106.00454054019177
679,335485.19750454905,4263045.692,1132.3686398213213,105.68630454905413
680,335484.8070384129,4263045.634765901,1134.6104681363363,105.3002384129248
681,335484.36725640733,4263045.581920343,1136.8522964513513,104.86041657914136
682,335484.035440093,4263045.540068536,1139.0941247663663,104.51294009302859
683,335483.6966524867,4263045.498,1141.3359530813814,104.15855248667314
684,335483.40589646855,4263045.456,1143.5777813963962,103.85219646855602
685,335483.17313648696,4263045.414,1145.8196097114112,103.60383648700164
686,335482.92078979424,4263045.372244833,1148.0614380264262,103.33591221097267
687,335482.6024622493,4263045.33,1150.3032663414413,103.00228975316503
688,335482.3178529662,4263045.288,1152.5450946564563,102.70208293160667
689,335481.9882421128,4263045.246079605,1154.7869229714713,102.35694211279139
690,335481.6439453783,4263045.204169626,1157.0287512864863,101.99694537831787
691,335481.2983502083,4263045.162616877,1159.2705796015014,101.635750208357
692,335480.9164296289,4263045.120991472,1161.5124079165164,101.23822962891111
693,335480.59390277864,4263045.079,1163.7542362315314,100.9002809407576
694,335480.27064475394,4263045.036952393,1165.9960645465464,100.56162095061497
695,335479.98874221125,4263044.994879815,1168.2378928615615,100.26408211857145
696,335479.7153630383,4263044.953,1170.4797211765765,99.97516303830042
697,335479.4892299104,4263044.911144904,1172.7215494915915,99.7334023623333
698,335479.2626186657,4263044.869,1174.9633778066066,99.49111866570999
699,335479.02854902874,4263044.827,1177.2052061216216,99.24147700673223
700,335478.81302411965,4263044.785451231,1179.4470344366366,99.01054973500287
701,335478.59834765934,4263044.743,1181.6888627516516,98.78044765934287
702,335478.3859733727,4263044.701,1183.9306910666667,98.55242080785082
703,335478.1435401743,4263044.6591102965,1186.1725193816815,98.29444017429341
704,335477.9155483791,4263044.617221301,1188.4143476966965,98.05093689971149
705,335477.6875571903,4263044.575930697,1190.6561760117115,97.80715719026246
706,335477.4521803496,4263044.534,1192.8980043267266,97.5566803496118
707,335477.20593399834,4263044.4915189,1195.1398326417416,97.29459344838804
708,335476.9871743295,4263044.45,1197.3816609567566,97.06037432949095
709,335476.75906501326,4263044.40785808,1199.6234892717716,96.81666501329101
710,335476.58598801674,4263044.366,1201.8653175867867,96.6279880167613
711,335476.41350025433,4263044.324246983,1204.1071459018017,96.44002374598575
712,335476.226885894,4263044.28209496,1206.3489742168167,96.23763337412315
713,335476.0364244144,4263044.24,1208.5908025318317,96.03202441440834
714,335475.8302555798,4263044.198,1210.8326308468468,95.8100410164909
715,335475.617175349,4263044.156,1213.0744591618618,95.58157534897167
716,335475.40311055613,4263044.114989349,1215.3162874768768,95.35180523042321
717,335475.2351577889,4263044.073,1217.5581157918919,95.16825778894787
718,335475.0580082563,4263044.030279389,1219.7999441069069,94.97564795061523
719,335474.89994113665,4263043.989,1222.041772421922,94.80192066244241
720,335474.7358746507,4263043.947,1224.283600736937,94.62257465065616
721,335474.5948828083,4263043.905,1226.5254290519517,94.46598280824877
722,335474.4579881451,4263043.863,1228.7672573669668,94.313488145099
723,335474.3040184618,4263043.821,1231.0090856819818,94.14381846179225
724,335474.1779374878,4263043.779,1233.2509139969968,94.00213748773557
725,335474.02864351077,4263043.741,1235.4927423120118,93.84354351077633
726,335473.90744161076,4263043.703,1237.7345706270269,93.71314161078666
727,335473.76776416344,4263043.665,1239.976398942042,93.56417440447302
728,335473.6592195779,4263043.626725788,1242.218227257057,93.4466824718032
729,335473.55049209256,4263043.588668758,1244.460055572072,93.32879209257166
730,335473.4513791869,4263043.551,1246.701883887087,93.22037918684431
731,335473.3555692607,4263043.512,1248.943712202102,93.11564300205943
732,335473.28515272244,4263043.4744103765,1251.185540517117,93.03615272244632
733,335473.19881333265,4263043.436138563,1253.427368832132,92.94051333266768
734,335473.1152840263,4263043.39819252,1255.669197147147,92.84778028655586
735,335473.04549451073,4263043.36,1257.9110254621621,92.76901047401253
736,335472.98394794896,4263043.3221598035,1260.1528537771771,92.69834794896119
737,335472.9407269161,4263043.284,1262.3946820921922,92.64582691611002
738,335472.8996787972,4263043.246051723,1264.6365104072072,92.59597879723455
739,335472.8634271522,4263043.208000001,1266.878338722222,92.5504271521711
740,335472.8243153156,4263043.17,1269.120167037237,92.5020153155509
741,335472.7735172449,4263043.132,1271.361995352252,92.44213800500117
742,335472.7303149825,4263043.094,1273.603823667267,92.38999815464737
743,335472.6777357944,4263043.055778031,1275.845651982282,92.32813579435285
744,335472.6398047415,4263043.018,1278.0874802972971,92.28090474151959
745,335472.5948203972,4263042.98,1280.3293086123122,92.22712039721708
746,335472.54119790596,4263042.942,1282.5711369273272,92.16419790599363
747,335472.46454160695,4263042.903533737,1284.8129652423422,92.07834160692289
748,335472.35447876627,4263042.865605584,1287.0547935573572,91.95928155844123
749,335472.2375156137,4263042.828,1289.2966218723723,91.83321561371814
750,335472.06246298976,4263042.789821558,1291.5384501873873,91.64886298971146
751,335471.7578952203,4263042.751,1293.7802785024023,91.3349952203271
752,335471.3912981751,4263042.713152338,1296.0221068174174,90.95969817507901
753,335470.83842493454,4263042.676,1298.2639351324324,90.39752493458083
754,335470.19752967934,4263042.63763556,1300.5057634474474,89.74732967932351
755,335469.7156861205,4263042.599392431,1302.7475917624624,89.25638233634423
756,335469.31758894137,4263042.561391382,1304.9894200774775,88.84928894135878
757,335468.97549968667,4263042.522936802,1307.2312483924923,88.49799968667712
758,335468.7871339872,4263042.485,1309.4730767075073,88.30033398715103
759,335468.677143666,4263042.447196115,1311.7149050225223,88.18154366599965
760,335468.611473121,4263042.409,1313.9567333375373,88.1065731210082
761,335468.5609506929,4263042.371,1316.1985616525524,88.04675069291565
762,335468.55895933294,4263042.333000001,1318.4403899675674,88.0357917303299
763,335468.547165479,4263042.296,1320.6822182825824,88.01522336617474
764,335468.5356292044,4263042.27,1322.9240465975975,87.99902920442494
765,335468.51939426886,4263042.243,1325.1658749126125,87.97839426880991
766,335468.46922058443,4263042.216,1327.4077032276275,87.9233205844199
767,335468.4225183681,4263042.188999999,1329.6495315426425,87.8722183680909
768,335468.3433820066,4263042.162,1331.8913598576576,87.78818200661298
769,335468.23770513246,4263042.135,1334.1331881726726,87.6781051324562
770,335468.0735767337,4263042.108639807,1336.3750164876876,87.50957673368325
771,335467.8485659628,4263042.0819999995,1338.6168448027026,87.27976596279251
772,335467.54655851325,4263042.055,1340.8586731177177,86.97335851326756
773,335467.1506619534,4263042.028,1343.1005014327327,86.57256195338753
774,335466.78634466854,4263042.001386539,1345.3423297477477,86.20384466854006
775,335466.4496121137,4263041.975,1347.5841580627628,85.862712113734
776,335466.20121434226,4263041.948,1349.8259863777776,85.60941434229395
777,335466.00647235505,4263041.921,1352.0678146927926,85.41027235499574
778,335465.90930921317,4263041.893999999,1354.3096430078076,85.30820921310904
779,335465.85923528066,4263041.86704714,1356.5514713228226,85.25373528063757
780,335465.82285933127,4263041.840578179,1358.7932996378377,85.21274842059475
781,335465.8098512182,4263041.813481055,1361.0351279528527,85.19515121822938
782,335465.79844778706,4263041.787,1363.2769562678677,85.17934778707988
783,335465.78022485937,4263041.76,1365.5187845828827,85.15622485933955
784,335465.7537137694,4263041.733,1367.7606128978978,85.12531376938418
785,335465.7106198015,4263041.70695759,1370.0024412129128,85.07731980150693
786,335465.6641831686,4263041.68,1372.2442695279278,85.02648316859887
787,335465.608514992,4263041.653,1374.4860978429429,84.966414991974
788,335465.5217487267,4263041.626,1376.7279261579579,84.87474872673647
789,335465.40395568224,4263041.598999999,1378.969754472973,84.75255568224452
790,335465.2499978539,4263041.572347172,1381.211582787988,84.59369785391735
791,335465.04155786353,4263041.545752423,1383.453411103003,84.3809578634985
792,335464.8819019362,4263041.518999999,1385.695239418018,84.21690193619314
793,335464.65809599124,4263041.492,1387.937067733033,83.98819599126924
794,335464.31404039374,4263041.465115462,1390.1788960480478,83.63974039370113
795,335463.9237411919,4263041.438,1392.4207243630628,83.24454119191309
796,335463.56848030636,4263041.4116870845,1394.6625526780779,82.88488030638193
797,335463.2227976398,4263041.385,1396.904380993093,82.53454184256353
798,335462.81265274173,4263041.358,1399.146209308108,82.11975274172511
